ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
449,Deportes y entretenimiento,Bicicletas y accesorios,850000
450,Bebi,Otros,850000
451,Inmuebles,Apartamentos,856000
452,Tecnologi,Celulares y teli,880000
453,Inmuebles,Apartamentos,890000
454,Deportes y entretenimiento,Bicicletas y accesorios,900000
455,Inmuebles,Fincas,900000
456,Inmuebles,Apartamentos,900000
457,Tecnologi,Computadores  laptops y accesorios,900000
458,Inmuebles,Apartamentos,900000
459,Inmuebles,Apartamentos,900000
460,Electrodomi,Neveras - congeladores,900000
461,Inmuebles,Casas,900000
462,Inmuebles,Casas,900000
463,Deportes y entretenimiento,Arti,915000
464,Inmuebles,Apartamentos,950000
465,Inmuebles,Apartamentos,950000
466,Hogar y decoracii,Muebles,950000
467,Inmuebles,Apartamentos,950000
468,Deportes y entretenimiento,Bicicletas y accesorios,950000
469,Deportes y entretenimiento,Bicicletas y accesorios,950000
470,Inmuebles,Apartamentos,970000
471,Deportes y entretenimiento,Bicicletas y accesorios,977500
472,Moda y accesorios,Vestidos,1000000
473,Moda y accesorios,Otros,1000000
474,Deportes y entretenimiento,Arti,1000000
475,Hogar y decoracii,Muebles,1000000
476,Inmuebles,Apartamentos,1000000
477,Inmuebles,Casas,1000000
478,Servicios y maquinaria,Otros servicios,1000000
479,Tecnologi,Computadores  laptops y accesorios,1000000
480,Bebi,Otros,1000000
481,Vehi,Accesorios,1000000
482,Inmuebles,Apartamentos,1000000
483,Deportes y entretenimiento,Bicicletas y accesorios,1000000
484,Tecnologi,Celulares y teli,1000000
485,Inmuebles,Apartamentos,1000000
486,Tecnologi,Videojuegos - consolas,1050000
487,Inmuebles,Apartamentos,1050000
488,Deportes y entretenimiento,Bicicletas y accesorios,1050000
489,Deportes y entretenimiento,Bicicletas y accesorios,1050000
490,Deportes y entretenimiento,Bicicletas y accesorios,1050000
491,Deportes y entretenimiento,Bicicletas y accesorios,1099000
492,Tecnologi,Celulares y teli,1100000
493,Deportes y entretenimiento,Bicicletas y accesorios,1100000
494,Tecnologi,Camaras y accesorios,1100000
495,Tecnologi,Celulares y teli,1100000
496,Inmuebles,Apartamentos,1100000
497,Inmuebles,Apartamentos,1100000
498,Tecnologi,Videojuegos - consolas,1100000
499,Tecnologi,Celulares y teli,1100000
500,Electrodomi,Neveras - congeladores,1100000
501,Tecnologi,Celulares y teli,1100000
502,Tecnologi,Videojuegos - consolas,1120000
503,Inmuebles,Apartamentos,1200000
504,Hogar y decoracii,Muebles,1200000
505,Inmuebles,Apartamentos,1200000
506,Hogar y decoracii,Muebles,1200000
507,Inmuebles,Apartamentos,1200000
508,Tecnologi,Accesorios tecnologi,1200000
509,Inmuebles,Apartamentos,1200000
510,Hogar y decoracii,Salas,1200000
511,Inmuebles,Apartamentos,1200000
512,Inmuebles,Oficinas y otros,1300000
513,Inmuebles,Apartamentos,1300000
514,Inmuebles,Apartamentos,1300000
515,Tecnologi,Celulares y teli,1300000
516,Inmuebles,Apartamentos,1300000
517,Vehi,Bicicletas,1300000
518,Tecnologi,Tv - reproductores de video,1300000
519,Inmuebles,Apartamentos,1300000
520,Tecnologi,Videojuegos - consolas,1300000
521,Tecnologi,Camaras y accesorios,1350000
522,Vehi,Accesorios,1350000
523,Inmuebles,Apartamentos,1350000
524,Deportes y entretenimiento,Bicicletas y accesorios,1390000
525,Inmuebles,Apartamentos,1400000
526,Tecnologi,Camaras y accesorios,1400000
527,Moda y accesorios,Otros,1400000
528,Inmuebles,Apartamentos,1400000
529,Tecnologi,Computadores  laptops y accesorios,1400000
530,Inmuebles,Apartamentos,1400000
531,Inmuebles,Apartamentos,1400000
532,Inmuebles,Apartamentos,1400000
533,Deportes y entretenimiento,Bicicletas y accesorios,1450000
534,Tecnologi,Celulares y teli,1500000
535,Vehi,Bicicletas,1500000
