USER_ID,UBICATION,CORPORATE
14718,Santafe De Bogota D.C.,Bancolombia
14791,Medellin,Bancolombia
14793,Rionegro,Bancolombia
14812,Santafe De Bogota D.C.,Bancolombia
14826,Medellin,Bancolombia
14845,Medellin,Pragma
14872,Medellin,Bancolombia
14874,Medellin,Bancolombia
14931,Medellin,Bancolombia
14970,Puerto Carre̱o,Bancolombia
15105,Salgar,Bancolombia
15242,Medellin,Bancolombia
15321,Manizales,Bancolombia
15403,Duitama,Bancolombia
15424,Cartagena,Tuya
15460,Medellin,Tuya
15475,Medellin,Bancolombia
15544,Medellin,Bancolombia
15556,Buenaventura,Bancolombia
15559,Envigado,Bancolombia
15563,Lorica,Bancolombia
15566,Medellin,Tuya
15572,Medellin,Tuya
15636,Medellin,Bancolombia
15712,Medellin,Bancolombia
15732,Santafe De Bogota D.C.,Bancolombia
15783,Medellin,Bancolombia
15786,Medellin,Bancolombia
15787,Medellin,Bancolombia
15791,Medellin,Bancolombia
15838,Medellin,Isagen
15865,Funza,Pastas Doria
15866,Medellin,Isagen
15872,Sabaneta,Isagen
15913,Medellin,Invitados
15918,Medellin,Isagen
15944,Medellin,Pragma
15978,Medellin,Isagen
15979,Bucaramanga,Isagen
15987,Cali,Bancolombia
15994,Medellin,Suramericana
16021,Medellin,Bancolombia
16049,Santafe De Bogota D.C.,Bancolombia
16057,Envigado,Isagen
16066,Floridablanca,Isagen
16075,Bello,Isagen
16093,Medellin,Bancolombia
16126,Medellin,Tuya
16156,Cali,Bancolombia
16169,Manizales,Isagen
16268,Medellin,Bancolombia
16332,La Dorada,Isagen
16409,Medellin,Isagen
16416,Zarzal,Riopaila
16424,Rionegro,Isagen
16479,Medellin,Bancolombia
16526,Envigado,Bancolombia
16527,Medellin,Bancolombia
16535,Envigado,Isagen
16557,Medellin,Bancolombia
16578,Medellin,Bancolombia
16598,Medellin,Renting
16684,Santafe De Bogota D.C.,Navitrans
16694,Medellin,Bancolombia
16895,Caucasia,Bancolombia
16910,Planeta Rica,Bancolombia
16966,Medellin,Bancolombia
17033,Medellin,Bancolombia
17034,Medellin,Bancolombia
17038,La Ceja,Isagen
17050,Medellin,Isagen
17060,Sabaneta,Bancolombia
17065,Medellin,Isagen
17093,Santafe De Bogota D.C.,Bancolombia
17118,Itagui,Bancolombia
17119,Medellin,Bancolombia
17120,Medellin,Coltabaco
17146,Bello,Bancolombia
17149,Medellin,Bancolombia
17208,Medellin,Bancolombia
17267,Medellin,Pragma
17362,Sahagun,Bancolombia
17410,Medellin,Bancolombia
17476,Santafe De Bogota D.C.,Bancolombia
17785,Medellin,Argos
17893,Medellin,Bancolombia
17917,Santafe De Bogota D.C.,Bancolombia
17949,Medellin,Bancolombia
17995,Yumbo,Sodexo
18023,Albania,Sodexo
18043,La Ceja,Bancolombia
18053,Itagui,Bancolombia
18158,Barranquilla,Argos
18365,Medellin,Bancolombia
18382,Santafe De Bogota D.C.,Sufi
18436,Barranquilla,Coltabaco
18465,Medellin,Bancolombia
18573,Medellin,Bancolombia
18627,Barranquilla,Bancolombia
18635,Medellin,Bancolombia
18687,Envigado,Noel
18707,Santafe De Bogota D.C.,Pastas Doria
18732,Medellin,Bancolombia
18790,Medellin,Noel
18805,Villavicencio,Bancolombia
18811,Santafe De Bogota D.C.,Bancolombia
18856,Bello,Navitrans
18897,Caldas,Navitrans
18969,Santafe De Bogota D.C.,Sura
18992,Medellin,Sura
18997,Medellin,Sura
19005,Medellin,Sura
19041,Cali,Sura
19089,Medellin,Sura
19113,Medellin,Sura
19130,Medellin,Sura
19139,Medellin,Sura
19144,Medellin,Sura
19224,Medellin,Sura
19232,Medellin,Sura
19253,Cali,Sura
19267,Antioquia,Sura
19269,Carmen De Viboral,Sura
19276,Medellin,Sura
19309,Medellin,Sura
19325,Armenia,Sura
19359,Medellin,Sura
19369,Medellin,Proteccion
19372,Sabaneta,Bancolombia
19375,Sabaneta,Bancolombia
19378,Medellin,Sura
19433,Medellin,Sura
19445,Medellin,Sura
19450,Medellin,Sura
19453,Envigado,Sura
19471,Medellin,Bancolombia
19475,Santafe De Bogota D.C.,Proteccion
19481,Medellin,Bancolombia
19487,Medellin,Sura
19511,Sabaneta,Sura
19551,Girardota,Sura
19558,Pereira,Sura
19574,Medellin,Bancolombia
19601,Medellin,Sura
19620,Medellin,Sura
19642,Medellin,Sura
19675,Medellin,Tuya
19715,Medellin,Sura
19746,Medellin,Sura
19753,Santafe De Bogota D.C.,Bancolombia
19797,Medellin,Bancolombia
19798,La Ceja,Bancolombia
19825,Medellin,Bancolombia
19833,Envigado,Noel
19839,Medellin,Navitrans
19882,Bello,Sura
19890,Medellin,Bancolombia
19898,Medellin,Bancolombia
19934,Medellin,Bancolombia
19941,Sabaneta,Bancolombia
19943,Bello,Bancolombia
19987,Medellin,Bancolombia
19993,Medellin,Magnum
20018,Santafe De Bogota D.C.,Bancolombia
20026,Medellin,Bancolombia
20112,Medellin,Pragma
20155,Medellin,Postobon
20163,Medellin,Postobon
20217,Medellin,Postobon
20228,Medellin,Postobon
20263,Santafe De Bogota D.C.,Bancolombia
20307,Medellin,Bancolombia
20364,Envigado,El Colombiano
20418,Medellin,El Colombiano
20442,Jardin,Bancolombia
20481,Envigado,El Colombiano
20489,Medellin,Postobon
20521,Itagui,Magnum
20617,Medellin,Sura
20680,Medellin,Bancolombia
20685,Facatativa,Bancolombia
20725,Envigado,El Colombiano
20767,Rionegro,Bancolombia
20840,La Ceja,Bancolombia
20912,Medellin,Isagen
20926,Sabaneta,Sura
20953,Medellin,Sura
20987,Medellin,Proteccion
21009,Armenia,Bancolombia
21031,Bello,Bancolombia
21032,Rionegro,Bancolombia
21051,Itagui,Bancolombia
21052,Santafe De Bogota D.C.,Pragma
21080,Medellin,Bancolombia
21087,Antioquia,Bancolombia
21094,Envigado,Isagen
21106,Itagui,Bancolombia
21139,Medellin,Isagen
21148,Medellin,Bancolombia
21154,Medellin,Sura
21162,Medellin,Sura
21181,Medellin,Sura
21186,Medellin,Sura
21228,Medellin,Sura
21254,Bello,Sura
21264,Medellin,Sura
21269,Medellin,Bancolombia
21283,Medellin,Bancolombia
21290,Medellin,Todo1
21298,Santafe De Bogota D.C.,Todo1
21335,Medellin,Todo1
21340,Medellin,Todo1
21357,Medellin,Todo1
21452,Medellin,Redllantas
21502,Sabaneta,Tania
21509,Antioquia,Bancolombia
21519,Medellin,Sura
21523,Medellin,Sura
21563,Medellin,Colcaf̩
21567,Medellin,Bancolombia
21577,Medellin,Satrack
21603,Medellin,Pragma
21632,Medellin,Sura
21636,Sabaneta,Colcaf̩
21653,Santafe De Bogota D.C.,Cruz Roja Bogota
21661,Santafe De Bogota D.C.,Freeport Store
21678,Medellin,Tuya
21707,Medellin,Colcaf̩
21710,Rionegro,Colcaf̩
21716,Medellin,Colcaf̩
21724,Medellin,Bancolombia
21741,Bello,Colcaf̩
21810,Medellin,Bancolombia
21831,Medellin,Colcaf̩
21834,Guarne,Bancolombia
21869,Medellin,PersonalSoft
21893,Medellin,PersonalSoft
21900,Rionegro,Bancolombia
21908,Medellin,Bancolombia
21956,Rionegro,Bancolombia
21994,Medellin,Bancolombia
22000,Medellin,PersonalSoft
22018,Medellin,Satrack
22028,Medellin,Satrack
22068,Santafe De Bogota D.C.,PersonalSoft
22111,Medellin,Sura
22132,Medellin,Bancolombia
22136,Sabaneta,Proteccion
22137,Guarne,Bancolombia
22153,Cali,Sodexo
22165,Medellin,Incolmotos - Yamaha 
22166,Medellin,Bancolombia
22170,Medellin,Satrack
22181,Medellin,Bancolombia
22189,Cali,Bancolombia
22206,Medellin,Sura
22207,Rionegro,Bancolombia
22247,Bello,Colcaf̩
22272,Medellin,Bancolombia
22281,Medellin,Bancolombia
22288,Medellin,Ci Iblu
22305,Santafe De Bogota D.C.,Bancolombia
22326,Medellin,Sura
22328,Medellin,Tuya
22336,Barranquilla,Satrack
22354,Bello,Bancolombia
22355,Santafe De Bogota D.C.,Autoamerica
22369,Medellin,Sura
22372,Medellin,Bancolombia
22391,Medellin,Bancolombia
22395,Medellin,Andar
22396,Medellin,Andar
22403,Cali,Bancolombia
22410,Santafe De Bogota D.C.,Bancolombia
22438,Medellin,Bancolombia
22443,Sabaneta,Grupo Orbis
22451,Marinilla,Bancolombia
22453,Bello,Postobon
22470,Bello,Bancolombia
22501,Facatativa,Bancolombia
22521,Envigado,Bancolombia
22526,Medellin,PersonalSoft
22527,Medellin,PersonalSoft
22537,Copacabana,Bancolombia
22550,Sabaneta,Pragma
22553,Medellin,Bancolombia
22562,Medellin,Bancolombia
22582,Medellin,Freeport Store
22589,La Ceja,Bancolombia
22646,Medellin,Bancolombia
22659,Medellin,Satrack
22667,Medellin,Bancolombia
22668,Medellin,Bancolombia
22671,Santafe De Bogota D.C.,Bancolombia
22679,Oca̱a,Bancolombia
22697,Santafe De Bogota D.C.,Bancolombia
22704,Sahagun,Bancolombia
22721,Medellin,Bancolombia
